,Route,Incident,Location,Day,Hour,Month
21408,LINE 1,Mechanical,YONGE AND CRESCENT,Tuesday,0,6
18033,95,Cleaning - Unsanitary,RYLANDER AND KINGSTON,Saturday,20,5
11722,113,Mechanical,MAIN STREET STATION,Monday,5,4
30548,52,Emergency Services,LAWRENCE AND BATHURST,Saturday,0,8
20458,126,Operations - Operator,CHRISTIE STATION,Thursday,6,6
34151,29,Vision,DUFFERIN GATE LOOP,Saturday,0,9
17564,19,Collision - TTC,DUPONT AND BEDFORD,Wednesday,9,5
4126,95,Mechanical,1295 MILITARY TRAIL,Saturday,13,2
15459,903,Collision - TTC,MIDLAND AND ROMULUS,Monday,14,5
29107,102,Cleaning - Unsanitary,ST CLAIR AND SANTAMONI,Tuesday,21,8
10626,89,Emergency Services,KEELE STATION,Friday,21,3
3229,995,Mechanical,YORK MILLS STATION,Friday,12,1
32330,960,Mechanical,STEELES AND HILDA,Sunday,10,9
22965,101,Mechanical,DOWNSVIEW PARK STATION,Saturday,10,6
22790,52,Operations - Operator,LAWRENCE AND KEELE,Thursday,18,6
14814,95,Operations - Operator,ELLESMERE AND KENNEDY,Wednesday,14,5
28371,17,Operations - Operator,BIRCHMOUNT AND LAWRENC,Thursday,4,8
17790,89,Investigation,WESTON AND WALSH,Thursday,21,5
28974,29,Vision,DUFFERIN AND RAMSDEN,Monday,17,8
27782,22,Operations - Operator,400 DANFORTH ROAD,Friday,19,8
7329,124,Security,OLD ORCHARD AND AVENUE,Friday,22,3
24701,47,General Delay,LANSDOWNE STATION,Thursday,15,7
17140,89,Collision - TTC,KEELE STATION,Saturday,12,5
5010,36,Operations - Operator,FINCH AND NORFINCH,Sunday,21,2
17015,52,Security,LAWRENCE AND OLYMPIA,Friday,12,5
32042,39,Operations - Operator,FINCH STATION,Thursday,1,9
2087,32,Mechanical,PINE AND LAWRENCE,Wednesday,12,1
11940,63,Collision - TTC,OSSINGTON STATION,Tuesday,17,4
22097,95,Mechanical,ELLESMERE AND MORNELLE,Sunday,7,6
25370,40,Investigation,DUNDAS AND ROYAL YORK,Monday,17,7
28964,29,Operations - Operator,DUFFERIN AND GLENCAIRN,Monday,16,8
5725,94,Collision - TTC,WELLESLEY AND CHURCH,Saturday,7,2
20421,95,Operations - Operator,YORK MILLS STATION,Wednesday,20,6
20299,54,Emergency Services,EGLINTON STATION,Tuesday,0,6
23213,102,Operations - Operator,SHEPPARD AND MARKHAM,Monday,21,7
7589,43,Utilized Off Route,KENNEDY STATION,Monday,16,3
5307,36,Collision - TTC,FINCH AND ISLINGTON,Wednesday,8,2
17121,63,Mechanical,OSSINGTON AND DAVENPOR,Saturday,9,5
18487,94,Collision - TTC,QUEEN'S PARK CRESCENT,Wednesday,16,5
32093,935,Mechanical,JANE AND STANLEY,Friday,11,9
15387,14,Vision,CHAPLIN CRES AND EGLIN,Sunday,23,5
21482,15,Mechanical,SHERWAY GARDENS,Wednesday,13,6
11141,996,Collision - TTC,WILSON STATION,Wednesday,13,4
24164,53,Mechanical,STEELES EAST AND BRIML,Monday,11,7
3212,85,Mechanical,SHEPPARD AND BRIMLEY,Friday,9,1
863,32,Mechanical,EGLINTON WEST STATION,Sunday,16,1
24454,36,Mechanical,FINCH AND DUFFERIN,Wednesday,6,7
1449,34,Mechanical,EGLINTON AND BRENTCLIF,Friday,6,1
30106,112,Operations - Operator,KIPLING STATION,Wednesday,13,8
34216,129,Mechanical,SCARBOROUGH TOWN CENTR,Sunday,19,9
14312,60,Collision - TTC,STEELES AND HILDA,Saturday,10,4
1610,300,Mechanical,EAST MALL AND BLOOR,Saturday,5,1
20906,89,Security,WESTON RD AND WEST TOR,Saturday,21,6
14562,79,General Delay,LAWRENCE AND JANE,Monday,16,4
19119,123,Mechanical,THE WEST MALL AND DUND,Monday,7,6
32153,129,Cleaning - Unsanitary,KENNEDY AND LAWRENCE,Friday,19,9
8650,41,Investigation,PIONEER VILLAGE STATIO,Wednesday,14,3
19725,116,Security,EGLINTON AND KINGSTON,Friday,9,6
10574,52,Mechanical,LAWRENCE AND CULFORD,Friday,7,3
17090,76,Mechanical,ROYAL YORK AND BLOOR,Friday,23,5
26307,54,Mechanical,EGLINTON STATION,Tuesday,11,7
27426,929,Vision,3612A DUFFERIN STREET,Wednesday,19,7
4873,501,Operations - Operator,KING AND BAY,Saturday,12,2
24976,38,Operations - Operator,LAWSON AND MEADOWVALE,Saturday,12,7
25702,123,Diversion,BROWNS LINE AND EVANS,Wednesday,0,7
32542,341,Vision,KEELE AND DUNDAS,Tuesday,4,9
30072,52,Mechanical,YONGE AND SHEPPARD,Wednesday,6,8
34653,42,Emergency Services,MCNICOLL AND MCCOWAN,Thursday,10,9
30985,89,Operations - Operator,WESTON AND KING,Wednesday,19,8
16175,168,Operations - Operator,SYMINGTON AND DAVENPOR,Saturday,15,5
16657,112,Mechanical,KIPLING STATION,Tuesday,16,5
11340,34,Mechanical,EGLINTON AND DUNFIELD,Thursday,16,4
10457,939,Mechanical,KENNEDY STATION,Thursday,7,3
11493,29,Mechanical,WILSON STATION,Friday,17,4
17324,84,Mechanical,SHEPPARD STATION,Monday,15,5
11652,39,Mechanical,FINCH AND VICTORIA,Sunday,10,4
14584,160,Operations - Operator,WILSON STATION,Monday,17,4
16353,32,Mechanical,EGLINTON WEST STATION,Monday,6,5
8502,29,Operations - Operator,DUFFERIN AND SPRINGHUR,Tuesday,11,3
27302,165,Mechanical,WESTON AND STEELES,Tuesday,1,7
29601,96,Operations - Operator,JANE AND WILSON,Saturday,13,8
14426,20,Security,DANFORTH AND BIRCHMONT,Sunday,12,4
14745,939,Security,SCARBOROUGH CENTRE STA,Tuesday,23,4
2917,960,Mechanical,SIGNAL HILL AND STEELE,Wednesday,12,1
26670,77,Mechanical,WINDERMERE AND WINDERM,Thursday,21,7
34454,904,Operations - Operator,KENNEDY STATION,Tuesday,16,9
2204,985,Mechanical,SHEPPARD AND MIDLAND,Thursday,11,1
34068,85,Mechanical,ROUGE HILL GO STATION,Saturday,13,9
17404,84,Mechanical,SHEPPARD WEST AND BANT,Tuesday,8,5
25512,122,Mechanical,YORK MILLS AND BIRCHWO,Tuesday,15,7
14002,110,Utilized Off Route,ISLINGTON AND SAYBROOK,Thursday,17,4
10107,945,Emergency Services,KIPLING AND DIXON,Monday,18,3
20589,47,Collision - TTC,LANSDOWNE AND ST CLAIR,Thursday,18,6
30451,47,General Delay,LANSDOWNE STATION,Saturday,10,8
30519,86,Mechanical,WALLSEND AND CORONATIO,Saturday,18,8
21015,35,Security,PIONEER VILLAGE STATIO,Sunday,0,6
10233,98,Cleaning - Unsanitary,STEELES AND YONGE,Tuesday,16,3
27406,960,Emergency Services,FINCH STATION,Wednesday,17,7
22731,29,Mechanical,DUFFERIN AND DUFFERIN,Thursday,11,6
3735,32,Vision,BROADVIEW STATION,Tuesday,1,1
32524,927,Operations - Operator,KIPLING STATION,Monday,20,9
33654,45,Cleaning - Unsanitary,KIPLING AND REXDALE,Wednesday,15,9
21824,11,Mechanical,AVENUE AND FAIRLAWN,Friday,6,6
53,39,Mechanical,NEILSON AND CROW TRAIL,Monday,20,1
27959,7,Investigation,BATHURST AND EGLNTON,Sunday,12,8
1473,35,Mechanical,JANE AND WILSON,Friday,13,1
34820,70,Collision - TTC,O'CONNOR AND CURITY,Friday,17,9
29138,75,Mechanical,O'CONNOR AND WOODBINE,Wednesday,5,8
17709,54,Investigation,EGLINTON AND BRENTCLIF,Thursday,8,5
22585,37,Emergency Services,HUMBERWOOD LOOP,Wednesday,8,6
32120,995,Security,YORK MILLS AND CHIPSTE,Friday,15,9
20462,952,Operations - Operator,ARROW GARAGE,Thursday,6,6
23898,925,Mechanical,FRESH MEADOW AND DON M,Saturday,16,7
23593,86,Mechanical,EGLINTON EAST AND DANF,Thursday,16,7
32582,902,Mechanical,WARDEN STATION,Tuesday,10,9
26044,900,Operations - Operator,PEARSON AIRPORT,Saturday,19,7
28257,60,Security,FINCH STATION,Wednesday,5,8
16010,125,Operations - Operator,BATHURST AND ANTIBES,Friday,10,5
5783,95,Investigation,ELLESMERE AND WARDEN,Saturday,15,2
9170,54,Security,ORTON PARK AND LAWRENC,Sunday,10,3
18643,47,Operations - Operator,YORKDALE STATION,Thursday,14,5
9728,9,General Delay,MCCOWAN AND MARTINDALE,Friday,15,3
7029,60,Operations - Operator,PIONEER VILLAGE STATIO,Wednesday,21,2
20236,15,Diversion,EVANS AND NORTH CARSON,Tuesday,15,6
34850,129,Mechanical,MCCOWAN AND FINCH,Friday,20,9
33815,902,Mechanical,WARDEN STATION,Thursday,16,9
2096,96,Mechanical,WILSON STATION,Wednesday,14,1
8664,44,Mechanical,KIPLING AND EVANS,Wednesday,16,3
28197,79,Utilized Off Route,RUNNYMEDE AND ANNETTE,Tuesday,17,8
20522,939,Utilized Off Route,FINCH AND PHARMACY,Thursday,14,6
2347,944,Mechanical,KIPLIING AND JUTLAND,Friday,12,1
28774,165,Mechanical,WESTON AND LANYARD,Saturday,0,8
8620,89,Mechanical,WESTON AND 401,Wednesday,10,3
16336,95,Operations - Operator,YORK MILLS STATION,Sunday,21,5
6541,131,Mechanical,TRAIL AND SEWELLS,Saturday,23,2
13246,96,Mechanical,WILSON AND JULIAN,Friday,15,4
33426,161,Vision,OSSINGTON STATION,Monday,21,9
19657,63,Operations - Operator,OAKWOOD LOOP,Thursday,19,6
7863,75,Emergency Services,SHERBOURNE STATION,Wednesday,20,3
3769,51,Mechanical,EGLINTON AND MT. PLEAS,Wednesday,11,1
5557,131,Mechanical,NUGGET AND MARKHAM,Thursday,20,2
