,Min Delay
21408,Short Delay
18033,Medium Delay
11722,Long Delay
30548,Long Delay
20458,Medium Delay
34151,Short Delay
17564,Long Delay
4126,Medium Delay
15459,Short Delay
29107,Short Delay
10626,Short Delay
3229,Short Delay
32330,Medium Delay
22965,Medium Delay
22790,Short Delay
14814,Short Delay
28371,Long Delay
17790,Short Delay
28974,Short Delay
27782,Short Delay
7329,Medium Delay
24701,Long Delay
17140,Short Delay
5010,Short Delay
17015,Short Delay
32042,Short Delay
2087,Medium Delay
11940,Short Delay
22097,Long Delay
25370,Long Delay
28964,Short Delay
5725,Medium Delay
20421,Medium Delay
20299,Medium Delay
23213,Short Delay
7589,Medium Delay
5307,Short Delay
17121,Short Delay
18487,Medium Delay
32093,Medium Delay
15387,Medium Delay
21482,Medium Delay
11141,Short Delay
24164,Medium Delay
3212,Medium Delay
863,Long Delay
24454,Short Delay
1449,Short Delay
30106,Long Delay
34216,Medium Delay
14312,Short Delay
1610,Short Delay
20906,Short Delay
14562,Medium Delay
19119,Medium Delay
32153,Medium Delay
8650,Short Delay
19725,Short Delay
10574,Long Delay
17090,Short Delay
26307,Short Delay
27426,Short Delay
4873,Short Delay
24976,Medium Delay
25702,Medium Delay
32542,Medium Delay
30072,Short Delay
34653,Medium Delay
30985,Short Delay
16175,Medium Delay
16657,Medium Delay
11340,Long Delay
10457,Short Delay
11493,Short Delay
17324,Short Delay
11652,Short Delay
14584,Long Delay
16353,Short Delay
8502,Short Delay
27302,Short Delay
29601,Short Delay
14426,Medium Delay
14745,Short Delay
2917,Medium Delay
26670,Medium Delay
34454,Medium Delay
2204,Medium Delay
34068,Medium Delay
17404,Short Delay
25512,Medium Delay
14002,Long Delay
10107,Short Delay
20589,Short Delay
30451,Medium Delay
30519,Medium Delay
21015,Short Delay
10233,Medium Delay
27406,Short Delay
22731,Short Delay
3735,Medium Delay
32524,Short Delay
33654,Medium Delay
21824,Long Delay
53,Short Delay
27959,Short Delay
1473,Short Delay
34820,Short Delay
29138,Short Delay
17709,Short Delay
22585,Medium Delay
32120,Short Delay
20462,Short Delay
23898,Medium Delay
23593,Medium Delay
32582,Medium Delay
26044,Short Delay
28257,Short Delay
16010,Short Delay
5783,Medium Delay
9170,Medium Delay
18643,Long Delay
9728,Medium Delay
7029,Medium Delay
20236,Long Delay
34850,Short Delay
33815,Medium Delay
2096,Medium Delay
8664,Short Delay
28197,Medium Delay
20522,Medium Delay
2347,Medium Delay
28774,Short Delay
8620,Short Delay
16336,Short Delay
6541,Medium Delay
13246,Medium Delay
33426,Medium Delay
19657,Short Delay
7863,Medium Delay
3769,Long Delay
5557,Medium Delay
17212,Medium Delay
9400,Medium Delay
14782,Medium Delay
9424,Medium Delay
14554,Medium Delay
32244,Medium Delay
23548,Medium Delay
22299,Short Delay
27495,Short Delay
12021,Short Delay
9698,Short Delay
32300,Medium Delay
16089,Medium Delay
26464,Medium Delay
34408,Long Delay
33779,Medium Delay
21745,Short Delay
25320,Short Delay
10790,Short Delay
17352,Medium Delay
7259,Medium Delay
1027,Short Delay
25525,Short Delay
8741,Medium Delay
9618,Medium Delay
32054,Short Delay
22484,Short Delay
3145,Medium Delay
34985,Short Delay
4131,Short Delay
7381,Medium Delay
28999,Medium Delay
5427,Medium Delay
25246,Medium Delay
33332,Long Delay
14882,Short Delay
10808,Medium Delay
34983,Medium Delay
31466,Short Delay
1176,Short Delay
31758,Short Delay
4579,Medium Delay
33836,Medium Delay
16113,Short Delay
27270,Medium Delay
26370,Medium Delay
19870,Short Delay
23173,Short Delay
15058,Medium Delay
14079,Medium Delay
33689,Short Delay
13601,Short Delay
21605,Short Delay
29947,Short Delay
14374,Medium Delay
21637,Short Delay
4080,Short Delay
15970,Short Delay
4409,Long Delay
17672,Long Delay
29438,Long Delay
1986,Short Delay
9229,Short Delay
25805,Medium Delay
17176,Medium Delay
5585,Medium Delay
12482,Short Delay
2804,Short Delay
10396,Short Delay
9991,Short Delay
20699,Short Delay
26531,Short Delay
29465,Medium Delay
8350,Medium Delay
20284,Medium Delay
34000,Short Delay
5269,Medium Delay
22279,Medium Delay
26431,Medium Delay
16965,Short Delay
9985,Long Delay
31442,Medium Delay
32971,Long Delay
22309,Short Delay
17873,Medium Delay
19875,Short Delay
27066,Short Delay
24193,Medium Delay
15357,Short Delay
656,Short Delay
12761,Medium Delay
6547,Long Delay
20907,Short Delay
21124,Short Delay
32666,Medium Delay
19256,Short Delay
33445,Medium Delay
6487,Medium Delay
11648,Medium Delay
3107,Medium Delay
1820,Short Delay
14405,Medium Delay
29516,Short Delay
24911,Medium Delay
26257,Short Delay
2064,Short Delay
20228,Short Delay
360,Short Delay
23018,Short Delay
35154,Medium Delay
2097,Short Delay
7089,Medium Delay
21426,Short Delay
21235,Short Delay
6151,Short Delay
28965,Short Delay
34280,Medium Delay
27958,Short Delay
5635,Short Delay
29481,Short Delay
24142,Medium Delay
14147,Short Delay
1609,Medium Delay
7416,Short Delay
3000,Short Delay
15410,Medium Delay
32668,Medium Delay
29536,Medium Delay
19238,Short Delay
19820,Medium Delay
16436,Long Delay
27033,Short Delay
32403,Short Delay
246,Medium Delay
12332,Short Delay
21327,Short Delay
33672,Short Delay
10117,Short Delay
12717,Medium Delay
4514,Long Delay
22001,Medium Delay
31388,Long Delay
17974,Short Delay
7158,Medium Delay
4389,Short Delay
10487,Medium Delay
18616,Medium Delay
30930,Medium Delay
8046,Short Delay
16797,Short Delay
21128,Short Delay
8204,Short Delay
31540,Short Delay
5948,Medium Delay
31444,Medium Delay
6408,Short Delay
26274,Medium Delay
23880,Short Delay
6984,Short Delay
15705,Short Delay
17160,Short Delay
34326,Medium Delay
31562,Long Delay
31995,Short Delay
34748,Medium Delay
22152,Medium Delay
31642,Short Delay
19782,Medium Delay
7532,Long Delay
16100,Short Delay
23435,Short Delay
2351,Medium Delay
16646,Long Delay
25047,Short Delay
35029,Medium Delay
28525,Short Delay
12951,Long Delay
35081,Short Delay
10500,Short Delay
14517,Long Delay
13282,Short Delay
3803,Short Delay
11238,Medium Delay
8153,Short Delay
5522,Medium Delay
2372,Short Delay
5849,Long Delay
8103,Short Delay
18900,Medium Delay
22850,Long Delay
11274,Short Delay
27360,Long Delay
10753,Long Delay
34535,Long Delay
8364,Short Delay
7467,Short Delay
34149,Short Delay
5372,Medium Delay
13559,Short Delay
27215,Medium Delay
18293,Short Delay
2934,Short Delay
8582,Short Delay
5910,Short Delay
18443,Long Delay
9391,Short Delay
31788,Short Delay
30523,Short Delay
2919,Medium Delay
5776,Medium Delay
23591,Short Delay
19556,Medium Delay
3183,Short Delay
23932,Long Delay
8641,Medium Delay
8944,Short Delay
5163,Short Delay
18323,Long Delay
20460,Medium Delay
18676,Medium Delay
34810,Short Delay
20058,Short Delay
10913,Short Delay
20324,Short Delay
27298,Medium Delay
15021,Long Delay
1478,Short Delay
9182,Long Delay
31220,Short Delay
9894,Short Delay
1294,Medium Delay
26139,Medium Delay
26574,Short Delay
29002,Short Delay
24797,Short Delay
30870,Short Delay
32255,Short Delay
26584,Medium Delay
22290,Medium Delay
31718,Medium Delay
14427,Short Delay
34917,Short Delay
12910,Short Delay
26621,Medium Delay
16198,Medium Delay
5246,Short Delay
494,Short Delay
24984,Medium Delay
25839,Medium Delay
3274,Short Delay
16285,Short Delay
7848,Medium Delay
18478,Short Delay
25551,Medium Delay
5333,Medium Delay
16244,Short Delay
29075,Medium Delay
27748,Short Delay
24282,Medium Delay
25016,Short Delay
28370,Medium Delay
31382,Long Delay
4898,Short Delay
34211,Short Delay
15277,Medium Delay
2313,Medium Delay
836,Medium Delay
30763,Long Delay
9746,Short Delay
5203,Short Delay
28264,Short Delay
6950,Medium Delay
6551,Medium Delay
25456,Medium Delay
5893,Medium Delay
34511,Long Delay
13005,Medium Delay
19128,Medium Delay
413,Short Delay
13631,Long Delay
9852,Short Delay
30489,Medium Delay
4635,Short Delay
1642,Medium Delay
27861,Short Delay
9765,Medium Delay
13521,Medium Delay
21996,Short Delay
14441,Short Delay
32417,Short Delay
31700,Medium Delay
14035,Medium Delay
3370,Short Delay
14987,Long Delay
26793,Medium Delay
25325,Short Delay
32837,Medium Delay
24844,Medium Delay
14749,Short Delay
26708,Short Delay
34880,Short Delay
11574,Medium Delay
12729,Medium Delay
2383,Short Delay
33803,Short Delay
24858,Short Delay
24256,Short Delay
22177,Short Delay
25532,Medium Delay
16223,Short Delay
9235,Medium Delay
5765,Short Delay
21916,Short Delay
24611,Medium Delay
11981,Medium Delay
15959,Short Delay
9437,Short Delay
5029,Short Delay
22345,Medium Delay
33735,Short Delay
16343,Medium Delay
16731,Medium Delay
15824,Short Delay
745,Short Delay
32723,Medium Delay
26704,Short Delay
23165,Short Delay
17869,Short Delay
5433,Medium Delay
19513,Medium Delay
12458,Medium Delay
15864,Short Delay
7611,Medium Delay
32071,Short Delay
21265,Medium Delay
19014,Short Delay
14212,Short Delay
25513,Long Delay
26819,Medium Delay
34248,Short Delay
6545,Short Delay
25884,Short Delay
13011,Medium Delay
25817,Medium Delay
29854,Medium Delay
11880,Medium Delay
32204,Short Delay
27650,Short Delay
27152,Short Delay
1344,Medium Delay
10069,Short Delay
24366,Short Delay
4084,Long Delay
19244,Medium Delay
33066,Short Delay
18170,Short Delay
15551,Short Delay
11673,Long Delay
8942,Medium Delay
521,Medium Delay
20855,Short Delay
6522,Medium Delay
29880,Medium Delay
15005,Short Delay
2335,Long Delay
35207,Short Delay
10419,Medium Delay
741,Short Delay
9463,Short Delay
7835,Short Delay
30036,Medium Delay
3731,Long Delay
6471,Short Delay
22968,Short Delay
10834,Short Delay
14440,Short Delay
4659,Medium Delay
12092,Short Delay
8041,Short Delay
437,Short Delay
20424,Long Delay
20172,Medium Delay
5896,Long Delay
20738,Medium Delay
20910,Short Delay
4098,Short Delay
19264,Short Delay
21351,Short Delay
11137,Short Delay
30861,Short Delay
31002,Short Delay
20856,Short Delay
28227,Medium Delay
29416,Short Delay
33480,Short Delay
19590,Short Delay
7758,Short Delay
11919,Short Delay
6221,Medium Delay
17949,Short Delay
